id,created_at,text,retweet_count,tweet.retweeted
847205818176897024,2017-03-29 21:56:22,"Rahu Is A Mutant Allele Of Dnmt3c, Encoding A DNA Methyltransferase Required For…|Jain, D https://t.co/B1y2nnGbmg",2,False
846711266726965250,2017-03-28 13:11:11,Polo-like kinase-dependent phosphorylation of the synaptonemal complex protein SYP-4…|Elife•Colaiácovo MP https://t.co/nye8MkVuTz,7,False
846711254278270976,2017-03-28 13:11:08,Characterization of some Indian Himalayan Capsicums through floral morphology and EMA…|Protoplasma•Saha PS https://t.co/LR4KD83Al6,0,False
846711241926152192,2017-03-28 13:11:05,Genetic Links between Recombination and Speciation |PLOS Genet•Payseur BA https://t.co/iHVutO0jQv,0,False
846711229439606785,2017-03-28 13:11:02,Postmeiotic development of pollen surface layers requires two Arabidopsis ABCG-type t…|Plant Cell Rep•Lee Y https://t.co/hWEmpHpuZU,0,False
846711217242628096,2017-03-28 13:10:59,"Mitotic spindle formation in Triparma laevis NIES-2565(Parmales, Heterokontophyta |Protoplasma•Yoshikawa S https://t.co/yvUJxAcvG1",0,False
846711205318164480,2017-03-28 13:10:57,Histone acetylation and reactive oxygen species are involved in the preprophase arres…|Protoplasma•Li L https://t.co/4G3dmacTjt,0,False
846711193402163205,2017-03-28 13:10:54,Decondensation of chromosomal 45S rDNA sites in Lolium and Festuca genotypes does not…|Protoplasma•Houben A https://t.co/aOAqeIGBRV,0,False
846711180982833153,2017-03-28 13:10:51,"Highly distinct chromosomal structures in cowpea (Vigna unguiculata), as revealed by…|Chromosome Res•Jackson SA https://t.co/bhIreXDBfv",0,False
845986432648802304,2017-03-26 13:10:57,Differential proliferation and metabolic activity of Sertoli cells in the testes of b…|Poult Sci•Froment P https://t.co/3KGUog3PpB,1,False
845986420615397379,2017-03-26 13:10:54,Meiotic recombination modulates the structure and dynamics of the synaptonemal comple…|PLOS Genet•Villeneuve AM https://t.co/pKHqLUwjmf,3,False
845986408326094848,2017-03-26 13:10:52,RNA editing during sexual development occurs in distantly related filamentous ascomyc…|Genome Biol Evol•Nowrousian M https://t.co/TaHIGUDnki,0,False
845986396368121857,2017-03-26 13:10:49,Likelihood ratio formulae for disputed parentage when the product of conception is tr…|Int J Legal Med•Buckleton J https://t.co/EznMQiWkdF,0,False
845986384196206594,2017-03-26 13:10:46,In vivo binding of PRDM9 reveals interactions with noncanonical genomic sites |Genome Res•de Massy B https://t.co/H0fxPQsRX8,4,False
