id,created_at,text,retweet_count,tweet.retweeted
850470751148834816,2017-04-07 22:10:02,"7,991 #Citibikes are available in 20,302 active docks: 3,424 in #Manhattan, 1,982 in #Brooklyn, 174 in #Queens, &amp; 178 in #NJ",0,False
850468233924759552,2017-04-07 22:00:02,"8,023 #Citibikes are available in 20,302 active docks: 3,479 in #Manhattan, 1,973 in #Brooklyn, 177 in #Queens, &amp; 180 in #NJ",0,False
850465719594647554,2017-04-07 21:50:03,"8,012 #Citibikes are available in 20,302 active docks: 3,483 in #Manhattan, 1,985 in #Brooklyn, 175 in #Queens, &amp; 181 in #NJ",0,False
850463200227315712,2017-04-07 21:40:02,"8,060 #Citibikes are available in 20,302 active docks: 3,505 in #Manhattan, 1,987 in #Brooklyn, 176 in #Queens, &amp; 188 in #NJ",0,False
850460686119559170,2017-04-07 21:30:03,"8,062 #Citibikes are available in 20,302 active docks: 3,535 in #Manhattan, 1,984 in #Brooklyn, 177 in #Queens, &amp; 194 in #NJ",0,False
850458167364521986,2017-04-07 21:20:02,"8,007 #Citibikes are available in 20,302 active docks: 3,529 in #Manhattan, 1,977 in #Brooklyn, 178 in #Queens, &amp; 191 in #NJ",0,False
850455654569476096,2017-04-07 21:10:03,"8,070 #Citibikes are available in 20,302 active docks: 3,586 in #Manhattan, 2,000 in #Brooklyn, 177 in #Queens, &amp; 189 in #NJ",0,False
850453143632662528,2017-04-07 21:00:04,"8,227 #Citibikes are available in 20,302 active docks: 3,741 in #Manhattan, 1,999 in #Brooklyn, 178 in #Queens, &amp; 194 in #NJ",0,False
850450618321956864,2017-04-07 20:50:02,"8,255 #Citibikes are available in 20,302 active docks: 3,784 in #Manhattan, 1,982 in #Brooklyn, 177 in #Queens, &amp; 199 in #NJ",0,False
850448101680787456,2017-04-07 20:40:02,"8,264 #Citibikes are available in 20,302 active docks: 3,805 in #Manhattan, 1,984 in #Brooklyn, 174 in #Queens, &amp; 197 in #NJ",0,False
850445590530072579,2017-04-07 20:30:03,"8,279 #Citibikes are available in 20,302 active docks: 3,801 in #Manhattan, 1,999 in #Brooklyn, 178 in #Queens, &amp; 197 in #NJ",0,False
850443076996919297,2017-04-07 20:20:04,"8,304 #Citibikes are available in 20,302 active docks: 3,823 in #Manhattan, 2,002 in #Brooklyn, 180 in #Queens, &amp; 201 in #NJ",0,False
850440559747620864,2017-04-07 20:10:04,"8,310 #Citibikes are available in 20,302 active docks: 3,821 in #Manhattan, 2,015 in #Brooklyn, 178 in #Queens, &amp; 202 in #NJ",0,False
850438037997850624,2017-04-07 20:00:03,"8,405 #Citibikes are available in 20,302 active docks: 3,903 in #Manhattan, 2,026 in #Brooklyn, 180 in #Queens, &amp; 204 in #NJ",0,False
850435519054049280,2017-04-07 19:50:02,"8,385 #Citibikes are available in 20,302 active docks: 3,890 in #Manhattan, 2,018 in #Brooklyn, 181 in #Queens, &amp; 208 in #NJ",0,False
850433000483540992,2017-04-07 19:40:02,"8,404 #Citibikes are available in 20,302 active docks: 3,894 in #Manhattan, 2,022 in #Brooklyn, 182 in #Queens, &amp; 207 in #NJ",0,False
850430487097200640,2017-04-07 19:30:03,"8,392 #Citibikes are available in 20,302 active docks: 3,899 in #Manhattan, 2,017 in #Brooklyn, 181 in #Queens, &amp; 207 in #NJ",0,False
850427969164234755,2017-04-07 19:20:02,"8,403 #Citibikes are available in 20,302 active docks: 3,899 in #Manhattan, 2,019 in #Brooklyn, 180 in #Queens, &amp; 205 in #NJ",0,False
850425453282295808,2017-04-07 19:10:02,"8,445 #Citibikes are available in 20,302 active docks: 3,907 in #Manhattan, 2,033 in #Brooklyn, 180 in #Queens, &amp; 206 in #NJ",0,False
850422935315722241,2017-04-07 19:00:02,"8,467 #Citibikes are available in 20,302 active docks: 3,940 in #Manhattan, 2,032 in #Brooklyn, 181 in #Queens, &amp; 206 in #NJ",0,False
850420417076621312,2017-04-07 18:50:02,"8,427 #Citibikes are available in 20,302 active docks: 3,899 in #Manhattan, 2,031 in #Brooklyn, 182 in #Queens, &amp; 208 in #NJ",0,False
850417903782547458,2017-04-07 18:40:02,"8,437 #Citibikes are available in 20,302 active docks: 3,902 in #Manhattan, 2,038 in #Brooklyn, 182 in #Queens, &amp; 207 in #NJ",0,False
850415386419965952,2017-04-07 18:30:02,"8,420 #Citibikes are available in 20,302 active docks: 3,884 in #Manhattan, 2,045 in #Brooklyn, 182 in #Queens, &amp; 207 in #NJ",0,False
850412867883061250,2017-04-07 18:20:02,"8,417 #Citibikes are available in 20,302 active docks: 3,890 in #Manhattan, 2,044 in #Brooklyn, 184 in #Queens, &amp; 210 in #NJ",0,False
850410354551250947,2017-04-07 18:10:03,"8,409 #Citibikes are available in 20,246 active docks: 3,880 in #Manhattan, 2,050 in #Brooklyn, 183 in #Queens, &amp; 208 in #NJ",0,False
850407836572168193,2017-04-07 18:00:02,"8,371 #Citibikes are available in 20,246 active docks: 3,866 in #Manhattan, 2,040 in #Brooklyn, 183 in #Queens, &amp; 207 in #NJ",0,False
850405321029943298,2017-04-07 17:50:02,"8,382 #Citibikes are available in 20,246 active docks: 3,864 in #Manhattan, 2,039 in #Brooklyn, 183 in #Queens, &amp; 208 in #NJ",0,False
850402802870472704,2017-04-07 17:40:02,"8,429 #Citibikes are available in 20,298 active docks: 3,924 in #Manhattan, 2,045 in #Brooklyn, 184 in #Queens, &amp; 211 in #NJ",0,False
850400285365329921,2017-04-07 17:30:02,"8,430 #Citibikes are available in 20,298 active docks: 3,920 in #Manhattan, 2,048 in #Brooklyn, 186 in #Queens, &amp; 211 in #NJ",0,False
850397771664433152,2017-04-07 17:20:03,"8,444 #Citibikes are available in 20,298 active docks: 3,934 in #Manhattan, 2,046 in #Brooklyn, 187 in #Queens, &amp; 210 in #NJ",0,False
850395253639196674,2017-04-07 17:10:02,"8,451 #Citibikes are available in 20,298 active docks: 3,931 in #Manhattan, 2,059 in #Brooklyn, 184 in #Queens, &amp; 211 in #NJ",0,False
850392736637358080,2017-04-07 17:00:02,"8,492 #Citibikes are available in 20,298 active docks: 3,960 in #Manhattan, 2,066 in #Brooklyn, 185 in #Queens, &amp; 212 in #NJ",0,False
