id,created_at,text,retweet_count,tweet.retweeted
849091856407429120,2017-04-04 02:50:48,m.1+AF | Landscapes (Representations) about Utah Expedition (1857-1858) https://t.co/Rq1zDUfvhe,0,False
849061710912770049,2017-04-04 00:51:01,5:762 | picture dictionaries about Indian sign language https://t.co/m3wkjoTFkF,0,False
849031553611157505,2017-04-03 22:51:11,s*137 Pit | Cartes de visite of Pittsfield (Mass.) https://t.co/1l0DZZFRFJ,0,False
849001363820474369,2017-04-03 20:51:13,133:D5 | Portraits about Capitalists and financiers--United States https://t.co/eAnr8wQ4kl,0,False
848971141997789184,2017-04-03 18:51:08,"732.BI:H8 | watercolor about Albrecht Kasimir, Duke of Saxe-Teschen, 1738-1822 https://t.co/Mee9lKxVTF",0,False
848940782958641156,2017-04-03 16:50:29,4.557:P4 Hun | Maps of Huntington Bay (Bay) https://t.co/kPOoYZHFca,0,False
848910567112937474,2017-04-03 14:50:25,DO+r Chi | Photomechanical prints about Child labor https://t.co/O1nVI0u0Jb,0,False
848880559048839168,2017-04-03 12:51:11,476+3*GZ Dan | Salted paper prints of Dandara https://t.co/qHTs0HS7qP,0,False
848850185803489280,2017-04-03 10:50:29,E1.519.3 | Prints about Princesses https://t.co/brV1905TBr,0,False
848819941688168452,2017-04-03 08:50:19,"949.9.YW | Drypoints about Carnot, H. (Hippolyte), 1801-1888 https://t.co/2Ghmi93Jye",0,False
848789829999628288,2017-04-03 06:50:39,p*531.NE Eng | Ballads-Ireland-18th century about English poetry--18th century https://t.co/DGJZzWRZhl,0,False
848729333640437765,2017-04-03 02:50:16,0:193+EZ Boo | Poetry about Book jackets https://t.co/knwcLOpsS0,0,False
848699141664407554,2017-04-03 00:50:18,817.v Man | Maps about Manholes https://t.co/6SH22CH2zh,0,False
848669054680170496,2017-04-02 22:50:44,p+WT.2 | Prints about Plenty https://t.co/o4SVZ0RBow,0,False
848638747956662273,2017-04-02 20:50:19,677.X5 She | Photographs of Shelbyville (Ky.) https://t.co/3x4yoqBJTc,0,False
848608612247375872,2017-04-02 18:50:34,g+4.166 | Prints about Anvils https://t.co/TnqUoSdHwE,0,False
848578439758131203,2017-04-02 16:50:40,q.7 | Atlases of Rensselaer County (N.Y.) https://t.co/atFgrOpM0w,0,False
848548149773955072,2017-04-02 14:50:18,2*y.E6 | colored lithograph about British Museum https://t.co/7FqHVRNnCv,0,False
848517945575825408,2017-04-02 12:50:17,J7+CA Pas | Atlases about Passaic County (N.J.) https://t.co/nHB5mVplj2,0,False
848487785539489792,2017-04-02 10:50:26,"NZ.5.763 | Albumen prints about World's Columbian Exposition (1893 : Chicago, Ill.) https://t.co/BwK0XuuO50",0,False
848457626837016576,2017-04-02 08:50:36,6.TQ.G2 Ven | Portraits of Venice https://t.co/pEfPGAGoaS,0,False
848427459573895169,2017-04-02 06:50:44,u:583.W5 | Maps of Chicago (Ill.) https://t.co/X9UN1JHjYq,0,False
848397146894340097,2017-04-02 04:50:16,"6.b:218 Gon | Collotypes about Goncourt, Edmond de, 1822-1896 https://t.co/Yz5doZsIAy",0,False
848367145637556225,2017-04-02 02:51:04,h.J4 Win | Caricatures about Wind instruments https://t.co/fhArfqqdAP,0,False
848336853669486592,2017-04-02 00:50:41,100.c.PD She | Drypoints about Sheep https://t.co/sbrbuxvKsY,0,False
848306736867966976,2017-04-01 22:51:01,V8.0 Spa | watercolor of Spain https://t.co/hDVULqeMmm,0,False
848246187085967360,2017-04-01 18:50:25,178+f | Lithographs about Governors https://t.co/bMuNpMxp7P,0,False
848216102039670785,2017-04-01 16:50:52,CD.G7 Por | Portraits of Portraits https://t.co/g5ZntMc9mn,0,False
848185863888613378,2017-04-01 14:50:43,u.OS.L2 Spi | Stereoscopic views about Spinning apparatus https://t.co/ho4yQfHNZy,0,False
848155572281245696,2017-04-01 12:50:21,https://t.co/mJP8boZJYM Iza | Illustrations of Izamal (Mexico) https://t.co/L2JjTIZFxr,0,False
848125466586357760,2017-04-01 10:50:43,7.340 Syr | Maps of Syr Darya https://t.co/IJE5cAntfJ,0,False
848095175280910336,2017-04-01 08:50:21,719.6 Atl | Engravings of Atlantic States https://t.co/aLDRaoyOMm,0,False
848065143426699265,2017-04-01 06:51:01,"K1.835 | Lithographs about Ramses X, King of Egypt https://t.co/gdemh6w4gK",0,False
848034771351556096,2017-04-01 04:50:19,6+CP.p | Advertising about Player piano https://t.co/HqSJVpOt9Q,0,False
848004607527858181,2017-04-01 02:50:28,742.SH | Atlases of Niagara County (N.Y.) https://t.co/GB8qa7KySo,0,False
847974467653558272,2017-04-01 00:50:42,7.A9.QR | Mezzotints of Lake George (N.Y.) https://t.co/OnMRnaSZsD,0,False
847944346649452545,2017-03-31 22:51:00,"K6:o*9 | hymns about Madison, James, 1751-1836 https://t.co/CQ6nIIy2K8",0,False
847914186244075522,2017-03-31 20:51:10,"https://t.co/hkfgZJkyV5 Scr | Wood engravings about Scribner, Charles, 1821-1871 https://t.co/2QG3p3GWOX",0,False
847883813732614150,2017-03-31 18:50:28,IA*m | Portraits about History https://t.co/90okrIMS2L,0,False
847853588193959936,2017-03-31 16:50:22,S8.0:RQ Ger | Photomechanical prints of Germany https://t.co/06K6rcbhMr,0,False
847823526195343360,2017-03-31 14:50:55,m:1 | Article about History https://t.co/yJjXTbDrAX,0,False
847793361994076160,2017-03-31 12:51:03,s.9 The | Albumen prints about Theological seminaries https://t.co/1hEy5B7Kng,0,False
847762982755065857,2017-03-31 10:50:20,W2*r.803 | drama about Tobacco in drama https://t.co/GtSCb5AhcM,0,False
847732764111552512,2017-03-31 08:50:15,793:L2*WT Map | Pictorial maps of Maps https://t.co/JCX2QD9CKh,0,False
847702615941038082,2017-03-31 06:50:27,PY*737 Cai | Illustrations of Cairo https://t.co/Nuu2ljCOMN,0,False
847672420055920640,2017-03-31 04:50:28,H3+TD | Engravings about Amherst College https://t.co/VbyzbkjxNB,0,False
847642173872906242,2017-03-31 02:50:17,"HR*F1 | Engravings about Brant, Joseph, 1742-1807 https://t.co/YStAQuJ3lI",0,False
847611995322892294,2017-03-31 00:50:22,"I5*NH.483 Par | Menus about Parkhurst, C. H. (Charles Henry), 1842-1933 https://t.co/C3xmtdDwC0",0,False
847581921546784768,2017-03-30 22:50:52,FF.c | Sheet music about Eve (Biblical figure) https://t.co/TDjgr7d1Od,0,False
847551739989512193,2017-03-30 20:50:56,H6*852 | Title pages about Tuskegee Institute https://t.co/zzh6hrM0lC,0,False
847521492254515200,2017-03-30 18:50:44,L0.339 Mar | Documents of Maryland https://t.co/kMkobSxCUm,0,False
847491317143805952,2017-03-30 16:50:50,1.L6 Edu | Mezzotints about Educational facilities https://t.co/NxdexaERdG,0,False
847461107451043842,2017-03-30 14:50:47,"A8:883*JU | Illustrations about Smith, John Rubens, 1775-1849 https://t.co/kDZo0jVWDr",0,False
847430871850246145,2017-03-30 12:50:39,"683*6 | Lithographs about Castle Garden (New York, N.Y.) https://t.co/KPigDqeEQS",0,False
847400586018398208,2017-03-30 10:50:18,y:6.575 Dik | Postcards of Diksmuide https://t.co/8EAd1pM1MU,0,False
847370404263886849,2017-03-30 08:50:22,J2:r*UP | Engravings of Egypt https://t.co/wMFw2ZjpE5,0,False
847309987198021634,2017-03-30 04:50:17,542:d Col | Menus of Colorado Springs https://t.co/TQaWdDvWcq,0,False
847279800804794369,2017-03-30 02:50:20,"d:EJ | Menus about White House (Washington, D.C.) https://t.co/p2YG85D0IS",0,False
847249657185030145,2017-03-30 00:50:34,a*198.WA | Chromolithographs about Monticello (Va.) https://t.co/q48B2eKdDV,0,False
847219443503706116,2017-03-29 22:50:30,h:3 | Gelatin silver prints of Aisne https://t.co/k9o5vEC0WY,0,False
847189218258563073,2017-03-29 20:50:24,MB:v Bis | Mezzotints about Bishops https://t.co/Co5GOFikMi,0,False
847159098474991616,2017-03-29 18:50:43,"k.0 | Mezzotints about Charles II, King of England, 1630-1685 https://t.co/tFS87g96se",0,False
847128876002226176,2017-03-29 16:50:37,469.A7:2 Pol | Lithographs about Polka (Dance) https://t.co/cryHxvVH5V,0,False
847098725637984257,2017-03-29 14:50:49,621:M8.0 | Stipple engravings about Masks https://t.co/hmmpOqMopN,0,False
847068486308450305,2017-03-29 12:50:39,h+155 Ged | Maps about Gedney https://t.co/qnWrrMFnOQ,0,False
847038248048320512,2017-03-29 10:50:30,T5.617:d Cos | Prints about Costume prints https://t.co/2nNDap554e,0,False
847008058454757376,2017-03-29 08:50:32,"j*BE:202 Was | Aquatints about Washington, George, 1732-1799 https://t.co/BdEMr1EZr3",0,False
846977896807837696,2017-03-29 06:50:41,SS:B0.135 Chi | Paintings of China https://t.co/n3IXSQomxL,0,False
846947739380408320,2017-03-29 04:50:51,"5:k | Illustrations about Robertson, Archibald, 1765-1835 https://t.co/Yzx4I5rcIr",0,False
846917549170315265,2017-03-29 02:50:53,923:M3 Dan | Caricatures and cartoons about Dancers https://t.co/HYjineAbL3,0,False
846887351569801217,2017-03-29 00:50:53,"EH.D4.h | Stipple engravings about Clark, George Rogers, 1752-1818 https://t.co/l5zLKi6WMt",0,False
846857010440228868,2017-03-28 22:50:19,GA:225*8 Tra | Atlases about Travel https://t.co/MJbhU1F0yi,0,False
846826887326380032,2017-03-28 20:50:37,U0*761 | Steel engraving about Mar Saba (Monastery) https://t.co/hqqsGQQOWC,0,False
846796623166476290,2017-03-28 18:50:22,8*W2.NQ Was | Menus of Washington (D.C.) https://t.co/kypl4Sj6tV,0,False
846766404946837504,2017-03-28 16:50:17,K2.m.730 | Correspondence of Massachusetts https://t.co/dafWwy4K2W,0,False
846736361860321284,2017-03-28 14:50:54,V8.u | Pen works of Camp Upton (N.Y.) https://t.co/PJXZhMad3U,0,False
846706059116990464,2017-03-28 12:50:30,"4:y+B2 Cob | Aquatints about Cobbett, William, 1763-1835 https://t.co/EqseyyRC8q",0,False
846675809125437440,2017-03-28 10:50:18,"1+v | Portraits about North, Simeon, 1765-1852 https://t.co/ZA0VUCCkfm",0,False
846645690159771648,2017-03-28 08:50:37,742.P3:0 Spa | lithograph - hand-colored of Spain https://t.co/5hE4QjqWIR,0,False
846615594275405824,2017-03-28 06:51:01,"957.C6 | Menus about George, Saint, d. 303 https://t.co/OJNLXK3jQJ",0,False
846585273932763137,2017-03-28 04:50:32,n.W1 Fir | Menus about Fireplaces https://t.co/FylWLIC2DB,0,False
846555067197128704,2017-03-28 02:50:30,"840.a Ram | Aquatints about Ramesseum (Thebes, Egypt) https://t.co/bfcIFhzUw7",0,False
846524913380937728,2017-03-28 00:50:41,"w.VV | Photographs of Le Puy (Haute-Loire, France) https://t.co/OLH0cCyyOX",0,False
846494701456932864,2017-03-27 22:50:38,7*361:W6 Sou | Sheet music about Sousa Band https://t.co/S8kSGUlFg9,0,False
846464455009603588,2017-03-27 20:50:27,OU.7 | Photographs of Aliceville (Ala.) https://t.co/nR31EKNJY1,0,False
846434344566751232,2017-03-27 18:50:48,"2:m | Etchings about Hamond, Andrew Snape, Sir, 1738-1828 https://t.co/hYTtXUxSMN",0,False
846404181225361409,2017-03-27 16:50:56,"N2.YM Dra | Maps about Drake, Francis, Sir, 1540?-1596 https://t.co/5xdfYUTtWO",0,False
846373898379825152,2017-03-27 14:50:36,9+j Har | Menus about Harps https://t.co/tn5jND2kcd,0,False
846343657741520896,2017-03-27 12:50:26,"5.VE:w | Lithographs about Duffield, George, 1732-1790 https://t.co/E1QObp69UB",0,False
846313427442323456,2017-03-27 10:50:19,4.340 | watercolor of Guadalajara (Spain) https://t.co/V674rmjvF7,0,False
846283236712087552,2017-03-27 08:50:21,"8*500 | Drypoints about Carnot, H. (Hippolyte), 1801-1888 https://t.co/2Ghmi93Jye",0,False
846253165901217792,2017-03-27 06:50:52,812.NI | Stereoscopic views about Mutual Life Insurance Company of New York https://t.co/FoBOilOkWr,0,False
846222844644208643,2017-03-27 04:50:22,"C9+8*268 Mor | Stereoscopic views about Morse, S. R https://t.co/GcVbvd6avo",0,False
846192664743739393,2017-03-27 02:50:27,i.AK*X6 Riv | Landscape paintings about Rivers https://t.co/HZlWs5MzdW,0,False
846162533975298050,2017-03-27 00:50:43,3*VC.u Kal | Albumen prints of Kalamazoo (Mich.) https://t.co/4Mmk3UyF57,0,False
846132260260712448,2017-03-26 22:50:25,y.111:4 | Books about Fiction https://t.co/zBfMBy6zCe,0,False
846102042917638144,2017-03-26 20:50:21,"446:SC Wil | Pen works about William I, King of the Netherlands, 1772-1843 https://t.co/zgT6NBwy8g",0,False
846071886400425985,2017-03-26 18:50:31,n.M1.995 | Sheet music about Alliances https://t.co/48THt8mRHz,0,False
846041692801318912,2017-03-26 16:50:32,v:WC Sla | Portraits about Slaves https://t.co/M0UT0m0gFy,0,False
846011432189771776,2017-03-26 14:50:18,c.L3 Wes | Aquatints about Westminster Abbey https://t.co/8WZvnbbzN5,0,False
845981250674458624,2017-03-26 12:50:22,7.574:X9 Tom | Atlases of Tompkins County https://t.co/Dg8WpZLhaA,0,False
845951062255288320,2017-03-26 10:50:24,a:7:F6 Clo | Prints about Clothing and dress--China https://t.co/oV2nPDb1Yp,0,False
845920943675523074,2017-03-26 08:50:44,https://t.co/8X7LiCS4q7 Ari | Menus of Arizona https://t.co/aoSfUlLDym,0,False
845890769428865024,2017-03-26 06:50:49,B3*9 | Maps of Canada https://t.co/DHXl06x2Gs,0,False
845830245349502977,2017-03-26 02:50:19,1.302:n | Periodical illustrations of Mariel Bay (Cuba) https://t.co/MzPUYf0RDY,0,False
845800166435311617,2017-03-26 00:50:48,"d:S6.578 | Stereoscopic views about Drayton, John Grimke, 1815-1891 https://t.co/uV26XQ1Bbg",0,False
