id,created_at,text,retweet_count,tweet.retweeted
581593111459151872,2015-03-27 23:06:17,User 825631 | @justinhaugh | Created Fri Mar 09 06:29:25 2007,0,False
581592102288637952,2015-03-27 23:02:17,User 825571 | @peternewhall | Created Fri Mar 09 06:27:30 2007,0,False
581591092015030272,2015-03-27 22:58:16,User 825511 | @Rullerr | Created Fri Mar 09 06:24:13 2007,0,False
581590212276568065,2015-03-27 22:54:46,User 825451 | @shaundroid | Created Fri Mar 09 06:19:22 2007,0,False
581589617419354112,2015-03-27 22:52:24,User 825431 | @Paul_Caputo | Created Fri Mar 09 06:18:46 2007,0,False
581589305191231488,2015-03-27 22:51:10,User 825421 | @handmaps | Created Fri Mar 09 06:17:38 2007,0,False
581588609515548672,2015-03-27 22:48:24,User 825391 | @winstchurchil | Created Fri Mar 09 06:16:20 2007,0,False
581588220330266624,2015-03-27 22:46:51,User 825381 | @issor17 | Created Fri Mar 09 06:14:42 2007,0,False
581587568107646976,2015-03-27 22:44:16,User 825361 | @mrgremlin | Created Fri Mar 09 06:14:28 2007,0,False
581586593598836736,2015-03-27 22:40:23,User 825301 | @Transmission3k | Created Fri Mar 09 06:06:52 2007,0,False
581584548619780096,2015-03-27 22:32:16,User 825231 | @laminswe | Created Fri Mar 09 05:56:12 2007,0,False
581583670055669760,2015-03-27 22:28:46,User 825171 | @adrianogram | Created Fri Mar 09 05:52:47 2007,0,False
581583267620589568,2015-03-27 22:27:10,User 825151 | @jj31337 | Created Fri Mar 09 05:51:09 2007,0,False
581582568941813760,2015-03-27 22:24:24,User 825121 | @chopstixcookie | Created Fri Mar 09 05:48:28 2007,0,False
581582160387268608,2015-03-27 22:22:46,User 825111 | @elbechus | Created Fri Mar 09 05:47:40 2007,0,False
581581564250841088,2015-03-27 22:20:24,User 825091 | @RobbieRiptide | Created Fri Mar 09 05:46:30 2007,0,False
581581059495727105,2015-03-27 22:18:24,User 825081 | @soolara | Created Fri Mar 09 05:46:25 2007,0,False
581580592522858497,2015-03-27 22:16:33,User 825071 | @The_Rooster | Created Fri Mar 09 05:46:15 2007,0,False
